userid,activity_count,login_count,resources_viewed,days_inactive,average_grade,assignments_submitted,forum_posts,completion_rate,quiz_attempts_count
47006,91,5.0,75.0,1294,4.75,0,0,0.0,2
47007,106,4.0,92.0,1298,9.25,0,0,1.0,2
47008,56,1.0,48.0,1298,7.0,0,0,0.0,1
47009,111,4.0,90.0,1298,12.625,0,0,1.0,2
47011,87,3.0,73.0,1298,6.791665,0,0,0.0,2
47012,80,7.0,62.0,1298,8.75,0,0,0.0,2
47013,120,5.0,102.0,1281,10.125,0,0,0.0,2
47014,493,35.0,430.0,181,8.38889,6,0,0.75,4
47015,131,1.0,125.0,1298,12.33333,0,0,0.0,1
47016,125,4.0,111.0,1298,7.541665,0,0,1.0,2
47017,33,1.0,25.0,1298,7.0,0,0,1.0,1
47018,93,5.0,70.0,1298,8.5,0,0,0.0,4
47019,1044,222.0,765.0,29,6.583335,0,0,0.0,2
47020,118,5.0,100.0,1220,12.0,0,0,1.0,3
47021,68,3.0,54.0,1298,6.958335,0,0,0.0,2
47022,80,3.0,58.0,1298,6.416665,0,0,0.0,4
47023,98,4.0,81.0,1298,5.791665,0,0,1.0,2
47024,100,4.0,85.0,1296,8.791665,0,0,0.0,2
47025,150,6.0,127.0,1298,9.041665,0,0,1.0,3
47026,88,3.0,72.0,1298,9.625,0,0,0.0,3
47027,13,2.0,8.0,1302,0.0,0,0,0.0,0
47028,54,4.0,39.0,1298,2.25,0,0,1.0,2
47029,61,3.0,48.0,1200,7.375,0,0,0.5,2
47030,2,2.0,0.0,999,0.0,0,0,0.0,0
47032,87,7.0,64.0,1296,7.916665,0,0,1.0,2
47033,103,7.0,84.0,1296,6.125,0,0,0.5,2
47034,66,5.0,52.0,1298,12.0,0,0,1.0,1
47035,62,2.0,50.0,1298,8.25,0,0,1.0,2
47036,58,2.0,45.0,1298,4.416665,0,0,1.0,2
47037,644,40.0,573.0,182,6.744446666,6,0,1.0,4
47039,135,4.0,121.0,1296,7.375,0,0,0.0,2
47040,95,2.0,82.0,1298,8.75,0,0,0.0,2
47041,32,1.0,26.0,1298,8.66667,0,0,0.0,1
47042,83,5.0,65.0,1298,11.875,0,0,0.0,3
47043,127,2.0,114.0,1298,5.916665,0,0,1.0,2
47044,84,1.0,76.0,1298,13.0,0,0,0.0,1
47045,38,1.0,31.0,1298,2.25,0,0,1.0,2
47046,77,3.0,66.0,1293,13.0,0,0,0.0,1
47047,124,6.0,99.0,1298,10.833335,0,0,1.0,5
47048,93,2.0,81.0,1298,11.083335,0,0,0.0,2
47049,192,2.0,177.0,1298,5.375,0,0,1.0,3
47050,95,3.0,81.0,1298,7.583335,0,0,0.5,2
47051,171,9.0,150.0,1294,6.942856,0,0,1.0,3
47052,98,7.0,83.0,1298,6.916665,0,0,1.0,2
47054,91,4.0,72.0,1298,5.125,0,0,0.0,2
47055,122,8.0,100.0,161,10.333335,0,0,1.0,3
47056,34,1.0,29.0,1298,12.0,0,0,0.0,1
47057,80,3.0,72.0,1298,9.0,0,0,0.0,1
